iter	RMSE
0	0.4594540967
1	0.4555814975
2	0.4511400515
3	0.4470832582
4	0.4432552199
5	0.439602995
6	0.4360955114
7	0.4326034722
8	0.4293245358
9	0.4261538979
10	0.4231394242
11	0.4201686905
12	0.417561697
13	0.4149420647
14	0.4125381614
15	0.4103382145
16	0.4082955081
17	0.4061761389
18	0.4039321991
19	0.4020240364
20	0.399977187
21	0.398261537
22	0.3965873767
23	0.3948946268
24	0.3932247975
25	0.3916593087
26	0.390157422
27	0.3889625249
28	0.3878735693
29	0.3866001346
30	0.3852848677
31	0.3842237691
32	0.3831674385
33	0.3821577071
34	0.3809187656
35	0.3795455338
36	0.3784069581
37	0.377723801
38	0.3766518927
39	0.3754950298
40	0.3745122747
41	0.3736037691
42	0.3724877711
43	0.3714908581
44	0.3707698435
45	0.3700301651
46	0.3694700318
47	0.3688796281
48	0.3679823572
49	0.3671170792
50	0.3665187457
51	0.3657836756
52	0.3651309285
53	0.3644837655
54	0.3638717181
55	0.363307912
56	0.3626041517
57	0.3619941996
58	0.3615211864
59	0.3605997882
60	0.3597943596
61	0.3592371168
62	0.358474696
63	0.3579275441
64	0.3573573831
65	0.3568202386
66	0.3564726614
67	0.3561139533
68	0.3554480282
69	0.3552934591
70	0.3546144899
71	0.3540251269
72	0.3533501698
73	0.3527610437
74	0.3522179785
75	0.3518526686
76	0.3516604199
77	0.3513984476
78	0.3509772823
79	0.3507191343
80	0.3505578025
81	0.3500956553
82	0.3493693042
83	0.3488742363
84	0.3485966969
85	0.3478552067
86	0.3475616646
87	0.3470107151
88	0.3468137055
89	0.3465423491
90	0.3460580898
91	0.3455603192
92	0.3450210767
93	0.3448677398
94	0.3443555432
95	0.3438767119
96	0.3431632841
97	0.3430004069
98	0.3427279642
99	0.3421578911
100	0.3416659592
101	0.341284684
102	0.340490018
103	0.3401134808
104	0.3396507173
105	0.3394539127
106	0.3391427609
107	0.3387854164
108	0.3383893155
109	0.3380194321
110	0.3377414948
111	0.3372863811
112	0.3370136087
113	0.3367566909
114	0.3362456978
115	0.3356804105
116	0.3352473101
117	0.3349915939
118	0.3346833076
119	0.3344168673
120	0.334076778
121	0.3338659819
122	0.3335045079
123	0.333183555
124	0.3328845516
125	0.3324425124
126	0.3322830185
127	0.3319393375
128	0.3316517094
129	0.3313407145
130	0.3310717923
131	0.3307906862
132	0.3303856938
133	0.3300489498
134	0.3294060511
135	0.3292021659
136	0.3288033661
137	0.328661682
138	0.3284633115
139	0.3280995979
140	0.3277123404
141	0.3273113433
142	0.3269934389
143	0.3269497616
144	0.3265292552
145	0.3262084681
146	0.3257445967
147	0.325519669
148	0.3251850224
149	0.3249023847
150	0.3246789264
151	0.3241837037
152	0.3239176977
153	0.3235259599
154	0.3231682648
155	0.3227920597
156	0.3224362953
157	0.3222371536
158	0.3217832397
159	0.3215291374
160	0.3209299976
161	0.3204535549
162	0.3202426667
163	0.3199961672
164	0.3197808834
165	0.3194956817
166	0.3192107044
167	0.3188855565
168	0.3185259534
169	0.3182194849
170	0.31763778
171	0.3171960352
172	0.3168583407
173	0.3164474382
174	0.3160769424
175	0.315581782
176	0.3153889759
177	0.3150978618
178	0.3145335731
179	0.3140218141
180	0.3138717639
181	0.313727124
182	0.3136111118
183	0.3134122573
184	0.3132886077
185	0.3127734372
186	0.3126032089
187	0.3123458782
188	0.3122384574
189	0.3121126494
190	0.3118510433
191	0.3117904993
192	0.3115278129
193	0.3114149475
194	0.3113195582
195	0.3111001581
196	0.3110331937
197	0.3108772205
198	0.3104713284
199	0.3103023865
200	0.3099418733
201	0.3096676803
202	0.3094206918
203	0.3088854378
204	0.3088305917
205	0.3087053947
206	0.3085519912
207	0.3080121582
208	0.3077945936
209	0.3075164775
210	0.3068440769
211	0.3067669177
212	0.3064207013
213	0.3063568026
214	0.3058921299
215	0.3055189847
216	0.3052003196
217	0.3046891145
218	0.3040972853
219	0.3039651629
220	0.3036443281
221	0.3034962691
222	0.3028558833
223	0.3026988102
224	0.3026145595
225	0.3022959214
226	0.302185137
227	0.3019523056
228	0.3018312337
229	0.3013864797
230	0.3010520193
231	0.3008151301
232	0.300550401
233	0.300497015
234	0.3003424405
235	0.3002733066
236	0.300157473
237	0.300090214
238	0.3000395235
239	0.2999388954
240	0.2996756813
241	0.2994698454
242	0.2989147886
243	0.2987804931
244	0.2984840703
245	0.2982949156
246	0.2979653153
247	0.2976594126
248	0.2973916232
249	0.2970322879
250	0.2965491425
251	0.296502199
252	0.2964329605
253	0.2960766633
254	0.2957204977
255	0.2956419534
256	0.2952683333
257	0.2950224268
258	0.294621212
259	0.2945377745
260	0.2940582035
261	0.2938245539
262	0.2934168481
263	0.2933876924
264	0.2931148153
265	0.2929123227
266	0.2923624308
267	0.2920908645
268	0.2920272777
269	0.2919319734
270	0.2917132221
271	0.291192493
272	0.2911407581
273	0.291049653
274	0.2907061363
275	0.2906051112
276	0.2899993259
277	0.2896576136
278	0.2892683885
279	0.2889392434
280	0.2889146223
281	0.2887326044
282	0.2884789455
283	0.2882341511
284	0.2880094868
285	0.2878829757
286	0.287098204
287	0.2867475109
288	0.2864510907
289	0.2860735084
290	0.2860199509
291	0.2854202276
292	0.2852016553
293	0.2846071561
294	0.2845449843
295	0.2842651999
296	0.2837758442
297	0.2833169409
298	0.2831637085
299	0.2829298656
300	0.282482073
301	0.2819901952
302	0.2813193719
303	0.2808937821
304	0.2807832845
305	0.2805390135
306	0.2803396098
307	0.2797895565
308	0.2795162336
309	0.2793903957
310	0.2791591138
311	0.278761466
312	0.2787056831
313	0.2784033207
314	0.2782405557
315	0.2781091126
316	0.2778954036
317	0.2773799255
318	0.2769904807
319	0.2766030974
320	0.2765315022
321	0.2761914605
322	0.2758816187
323	0.2755933678
324	0.2754601563
325	0.2752568271
326	0.2750794748
327	0.2748337721
328	0.2742976754
329	0.2740646857
330	0.2740326758
331	0.2737262885
332	0.2732161178
333	0.2731240495
334	0.2730717497
335	0.272569473
336	0.2725307155
337	0.2724536863
338	0.2721561372
339	0.2719171
340	0.2716628865
341	0.2716146274
342	0.2712020406
343	0.2706187338
344	0.2703213798
345	0.2702825116
346	0.2700410137
347	0.2699244132
348	0.269818753
349	0.269751304
350	0.2693353957
351	0.2689926949
352	0.2687420019
353	0.26847426
354	0.2682281899
355	0.2680547037
356	0.268015748
357	0.2677630875
358	0.2672013105
359	0.2670242786
360	0.2669629959
361	0.2664705016
362	0.2660698835
363	0.2654554499
364	0.2651263407
365	0.2650867527
366	0.2649104403
367	0.264592411
368	0.264261322
369	0.2639865176
370	0.2639591009
371	0.2636895133
372	0.2634511963
373	0.2631895512
374	0.2629250277
375	0.262791435
376	0.26275467
377	0.2625670528
378	0.2621057507
379	0.2616806956
380	0.2615578933
381	0.2614139104
382	0.2612817746
383	0.2610628784
384	0.2608610125
385	0.2603277721
386	0.2598365926
387	0.2596760534
388	0.2593643086
389	0.2588569047
390	0.258824564
391	0.258636857
392	0.2583969299
393	0.2583357345
394	0.2578851167
395	0.2572868728
396	0.2572048482
397	0.2571259767
398	0.2568620879
399	0.2565610437
400	0.2564480666
401	0.2560773851
402	0.2560446889
403	0.2556082135
404	0.2549437968
405	0.2545014463
406	0.2543215597
407	0.2541715859
408	0.2540955102
409	0.2537039424
410	0.2534227876
411	0.2531785611
412	0.2529384452
413	0.2524348431
414	0.2521398258
415	0.2515973352
416	0.2512114371
417	0.2509470004
418	0.2505527495
419	0.2503425316
420	0.2502722301
421	0.2497316381
422	0.2493773242
423	0.2490091176
424	0.2484221821
425	0.2480653724
426	0.2479976506
427	0.2476959045
428	0.2471680947
429	0.2468858512
430	0.2465735778
431	0.2463244317
432	0.2459911253
433	0.2457245522
434	0.2455142968
